tracking_id	KD	KD	KD	NC	NC	NC
CXCL8	11.2847	8.44022	5.54635	0	0.0650282	0
GDF15	762.743	547.97	397.99	16.0351	20.5789	16.0351
TWIST1	20.7206	16.2565	14.3412	1.21384	2.13641	1.21384
SOX14	9.58591	7.41761	5.93718	0.591019	0.797894	0.591019
SNORA70	1286.45	837.737	759.1	91.0214	75.0944	91.0214
KRT17	5.38929	4.58539	6.3017	0.215891	0.427473	0.215891
NPPB	28.3482	28.8189	48.6751	2.594	4.74113	2.594
BNC1	2.80826	1.71028	1.35244	0.0671034	0.243591	0.0671034
RRAD	8.08097	5.30539	3.17363	0.546303	0.154438	0.546303
SFTA1P	21.756	26.3305	42.2381	2.62051	4.7896	2.62051
LOC101927797	121.829	86.165	72.2435	14.2044	15.3411	14.2044
PTPRE	2.43535	1.35643	1.8154	0.190649	0.226532	0.190649
IL24	2.81829	2.2152	1.33545	0	0.0688827	0
UPP1	306.912	285.788	176.12	29.1083	40.4468	29.1083
IL1A	2.75047	2.99816	2.26394	0.108585	0.465841	0.108585
PRDM1	3.24245	2.00357	2.00222	0.260747	0.399238	0.260747
ANXA1	168.725	157.179	150.337	14.1077	28.4239	14.1077
ARC	18.3216	13.7368	10.0011	1.54504	2.09879	1.54504
GPR87	2.6422	2.78667	3.28262	0.0749732	0.14845	0.0749732
PLK2	46.1849	40.2127	32.0809	7.48634	9.19044	7.48634
AADACL3	2.73981	3.5126	2.35284	0.256429	0.660065	0.256429
WNT7A	4.81776	4.715	5.1049	0.326461	0.96961	0.326461
LOC101927931	9.11043	7.63912	14.9978	0.359668	0.712158	0.359668
EPHA2	89.1787	67.9758	59.6205	13.2948	15.4467	13.2948
OVGP1	3.46312	3.18528	2.77378	0.387021	0.574739	0.387021
PVRL4	3.78632	2.19064	2.68024	0.41854	0.562352	0.41854
DCAF4L1	1.52135	1.19194	0.697535	0.0647531	0.170952	0.0647531
GADD45A	109.447	82.3694	74.1721	15.6769	20.7552	15.6769
ISL2	3.13342	4.07244	3.80425	0.556665	0.612345	0.556665
SLC16A14	3.39169	2.57149	2.03413	0.446673	0.605137	0.446673
TMEM40	1.74288	1.81009	1.44053	0.180234	0	0.180234
C2orf54	1.72872	1.19312	1.34504	0	0.168222	0
VGF	271.897	198.443	154.239	39.7484	44.5045	39.7484
AMOTL2	58.0705	47.8507	36.532	10.5729	11.6867	10.5729
SFN	34.4979	30.25	28.3071	6.03417	9.31236	6.03417
ADAMTS5	0.700272	0.763815	0.69546	0.114662	0.154797	0.114662
FOSL1	45.4638	34.328	32.0129	10.9096	8.60062	10.9096
PPP1R15A	49.2832	35.9904	36.6033	10.8141	11.0198	10.8141
SNORD26	2901.56	4196.87	2288.79	439.108	0	439.108
IP6K3	1.61348	0.919528	1.8446	0.158378	0.195999	0.158378
SERPINE1	272.297	234.413	139.959	12.2502	31.7419	12.2502
GRIA1	1.94538	2.06521	1.37652	0.309296	0.501339	0.309296
CXCL1	12.4888	10.3792	4.04698	1.83886	1.41599	1.83886
C7orf57	1.51902	1.27154	1.67763	0.11495	0.113803	0.11495
TRPC6	1.5273	1.25896	1.16589	0.223678	0.28788	0.223678
SNHG12	67.9772	54.3958	42.0648	11.6078	17.5116	11.6078
PLAU	119.055	87.7786	59.8713	16.1525	21.2222	16.1525
FXYD3	3.22679	1.56109	1.07144	0	0	0
PHLDA2	40.6372	25.4413	40.3321	8.81169	10.3595	8.81169
SNORA4	473.038	182.456	238.809	14.3174	14.1746	14.3174
SNORD99	1868.58	1310.42	1125.57	0	152.705	0
OTP	1.36058	0.761795	0.664721	0.0398524	0.0394547	0.0398524
PRPF3	68.5432	57.659	46.5908	17.1089	17.2838	17.1089
ODC1	151.411	139.572	124.8	35.5692	48.8662	35.5692
NKX2-5	27.391	21.3637	19.3479	5.77674	7.27978	5.77674
MAFF	20.9394	15.647	15.0839	4.54626	5.59055	4.54626
LINC00260	2.63581	2.05287	2.68692	0.0920516	0.455666	0.0920516
SNORA8	253.258	287.308	126.915	40.5813	40.1764	40.5813
PLAT	13.8109	11.516	12.5213	2.98876	4.6028	2.98876
SLFN12	3.64083	3.80744	2.64355	0.693107	0.992926	0.693107
SNORA64	963.462	746.554	455.995	109.354	15.4661	109.354
SNORD65	4523.89	4362.28	802.914	256.733	762.515	256.733
SNORA78	489.992	369.773	120.995	19.3442	0	19.3442
SNORA18	511.289	528.241	276.557	33.1611	131.321	33.1611
ZFP57	3.38906	3.51938	2.09754	0.414252	0.996003	0.414252
CYR61	167.941	153.973	148.342	47.6686	54.342	47.6686
BANCR	5.99251	3.33372	2.83619	0.209279	0	0.209279
PCGF1	24.1261	22.6678	15.8104	5.19583	6.81231	5.19583
SNORA63	217.193	144.993	189.775	0	15.0189	0
ZNF674-AS1	7.14941	5.60139	5.23421	1.97795	1.35569	1.97795
SSFA2	6.32729	6.01406	5.45425	1.76625	1.91934	1.76625
S100A6	66.4035	65.5612	58.3509	17.6975	22.4105	17.6975
FOSL2	7.36902	6.35926	5.67256	1.9006	2.11362	1.9006
