NAME	786-0	BT-549	CCRF-CEM	COLO 205	EKVX	HCC-2998	HCT-15	HOP-62	HOP-92	HS 578T	HT29	K-562	KM12	M14	MDA-MB-231/ATCC	MDA-MB-435	NCI-H23	NCI-H322M	NCI-H522	OVCAR-3	OVCAR-5	OVCAR-8	PC-3	RXF-393	SF-268	SF-295	SK-MEL-2	SN12C	SNB-19	SNB-75	SW-620	T-47D	U251	A498	A549/ATCC	ACHN	CAKI-1	HCT-116	LOX IMVI	MALME-3M	MCF7	MOLT-4	NCI-H460	OVCAR-4	SF-539	SK-MEL-5	SR	UACC-257	UACC-62	UO-31
CTLA2B	111.19	86.22	121.85	75.19	208.62	130.59	124.72	324.09	242.71	89.71	149.8	141.08	246.05	98.65	97.95	111.78	192.93	89.96	125.57	92.01	147.85	51.89	84.16	59.74	135.67	135.42	294.42	85.52	106.75	208.44	85.92	260.64	127.65	71.52	200.9	72.95	94.17	211.09	202.11	116.05	163.76	59.5	134.12	152.09	197.46	137.79	81.53	123.37	81.41	180.78
SCARA3	460.3	558.34	183.55	37.29	158	43.61	80.83	300.08	1250.25	144.82	55.9	113.01	78.69	89.29	470.56	97.48	110.56	75.53	249.93	84.92	171.51	248.2	77.1	231.07	238.87	140.93	180.84	688.79	149.04	105	113.54	124.63	96.16	318.04	129.28	458.87	357.97	78.07	72.01	58.97	109.91	120.42	73.06	115.03	95.12	37.56	76.16	41.1	77.51	519.17
LOC100044683	97.25	118.94	81.17	119.51	119.88	107.73	165.57	203.97	135.43	171.09	123.27	150.42	150.76	101.18	244.55	120.38	164.24	178.65	150.51	137.92	161.04	106.05	141.09	111.37	132.75	160.71	128.4	186.44	175.29	157.44	101.33	228.34	147.94	165.25	94.59	106.69	153.41	93.96	133.33	172.25	222.84	124.98	114.75	141.66	170.19	147.7	157.48	152.18	98.89	118.06
CMBL	33.45	55.1	221.67	50.3	35.12	75.7	84.01	44.12	79.96	29.01	31.06	125.31	77.97	42.93	155.21	66.65	52.44	54.44	83.86	27.27	30.37	106.56	12.69	102.91	147.44	51.72	54.51	47.51	89.54	49.9	43.36	36.7	40.57	21.98	57.24	51.75	61.06	51.44	76.85	61.67	51.32	117.11	59.46	78.46	45.55	49.07	96.69	33.09	10.38	52.89
CLIC6	35.75	41.26	63.04	219.86	42.53	54.19	86.98	71.2	53.89	98.86	164.37	58.61	81.21	74.83	77.28	65.32	94.36	27.86	112	34.1	59.9	9.04	45.9	32.76	54.89	49.79	58.57	63.96	52.43	36.31	52.27	98.67	47.1	30.72	45.95	27.4	35.16	135.86	32.62	59.62	154.05	31.62	37.66	32.64	63.35	27.95	70.99	36.25	17.5	49.41
IL13RA1	12.34	14.2	6.82	8.32	53.51	9.44	8.61	12.81	10	10.74	6.91	9.26	6.89	10.68	15.45	7.31	22.03	14.4	17.15	13.85	16.56	8.84	13.4	11.49	17.09	7.84	12.15	18.17	92.58	16.84	7.39	35.31	29.8	24.55	13.21	9.39	14.98	14.41	10.34	33.8	29.44	6.94	12.09	10.22	8.91	161.12	8.05	24.7	18.1	13.07
TACSTD2	57.68	34.84	887.41	40.72	41.22	31.41	60.83	72.19	43.36	34.17	35.35	84.02	39.41	54.82	77.99	58.27	26.94	67.59	45.44	70.39	38.34	22.31	34.44	38.77	42.31	23.8	48.97	73.6	46.38	33.25	53.48	45.67	22.06	27.36	42.9	60.95	69.95	46.8	48.04	47.58	25.43	522.8	51.11	77.8	35.16	72.04	88.71	38.79	38.23	47.38
DKKL1	74.33	224.25	242.99	77.74	104.71	294.96	117.2	55.95	135.78	102.93	167.7	1610.04	222.22	94.51	117.51	94.2	283.05	138.66	136.91	236.11	86.37	88.31	279.27	137.1	132.55	181.61	86.4	109.72	100.37	107.49	213.12	152.45	94.89	116.27	105.34	99.67	119.62	181.64	197.85	89.55	153.33	1231.88	162.23	158.47	114.28	91.95	227.05	120.43	106.41	124.08
CSF1	81.08	159.23	70.59	183.23	141.45	243.32	87.72	141.45	147.54	174.68	196.08	103.6	217.52	243.29	149.85	163.14	140.63	125.95	58.18	276.66	103.92	82.11	142.94	118.81	236.2	157.89	163.49	56.44	193.74	273.49	145.33	164.51	258.4	42.85	119.29	154.35	77.08	159.86	86.71	200.59	142.24	148.95	86.16	177.39	254.5	114.66	184.76	188.98	64.85	171.94
CITED1	49.64	168.91	96.05	141.25	135.49	115.82	76.32	92.56	62.96	269.71	227.38	82.48	131.22	90.64	38.32	49.65	236.02	182.62	124.7	242.54	74.81	93.1	50.85	91.56	88.89	160.64	35.35	83.96	54.38	236.47	87.9	84.14	118.82	96.81	154.55	58.89	44.75	80.77	91.12	120.24	135.97	170.14	144.53	156.81	163.53	108.15	106.14	182.73	318.66	30.98
SYNPO2L	76.47	43.61	20.4	28.44	58.1	13.69	19.21	107.82	48.07	92.09	47.58	39.24	11.86	22.37	76.85	23.68	21.84	59.35	62.15	157.01	23.75	33.66	80.31	98.81	52.41	61.77	43.12	53.39	68.81	71.79	60.84	41.12	127.69	81.89	84.35	112.1	104.67	38.08	13.37	70.04	47.17	23.74	22.08	155.79	30.45	12.39	14.24	38.6	38.92	92.92
TINAGL1	29.02	36.87	30.47	14.62	15.91	15.81	21.27	39.45	18.63	27.12	20.64	34.35	22.15	11.06	27.36	25.23	16.97	31.99	30.32	20.26	52.51	22.29	26.56	20.5	49.52	30.65	22.54	19.56	57.75	26.54	12.14	13.17	40.02	25.14	19.32	26.97	19.09	14.27	23.99	42.89	49.98	42.8	31.26	27.21	32.74	29.65	34.94	44.13	26.64	23.74
PTX3	20.41	7.14	15.93	15.18	148.28	116.76	2.94	21.63	29.87	5.51	195.33	5.33	4.59	4.74	5.03	8.94	109.75	6.8	4.2	17.25	74.19	23.81	16.01	5.84	52.1	44.03	37	23.18	11.3	8.62	83.21	10.05	10.89	7.76	273.81	20.63	5.98	19.17	89.64	7.11	6.74	23.91	588.5	6.41	38.16	406.54	219.98	13.46	6.12	92.47
BGN	11.49	2.92	1.71	1.65	2.03	1.98	1.73	3.82	1.46	2.72	1.72	2.74	2.76	1.34	2.64	2.46	2.48	2.81	1.45	2.68	2.38	2	5.13	1.44	2.22	1.33	2.41	3.84	3.36	1.62	1.74	2.03	1.11	5.19	1.35	6.73	2.46	1.28	1.27	2.95	2.37	8.69	1.67	3.67	3.22	3.74	1.41	1.42	1.83	2.13
