gse	rnk_list	drug	tissue_type	cell_type	cell_line	moa	MAFF_rank	CCNE2_rank	MAFF_logFC	CCNE2_logFC
GSE10299	GSE10299_DEG_Expt1_Control_vs_Group1	Go6976	epithelial	cell line	SQ20B	PKC inhibitor	11807	10353	-0.059271033	-0.029908546
GSE10299	GSE10299_DEG_Expt1_Control_vs_Group2	Go6976	epithelial	cell line	SQ20B	PKC inhibitor	251	16638	0.615273141	-0.714168669
GSE10311	GSE10311_DEG_Expt1_Control_vs_Group1	dexamethasone	bone	primary		glucocorticoid receptor agonist	15676	1043	-0.388180375	0.52634354
GSE10410	GSE10410_DEG_Expt1_Control_vs_Group1	myclobutanil	liver	primary		Other	7464	12037	0.024855376	-0.080133735
GSE10410	GSE10410_DEG_Expt1_Control_vs_Group2	triadimefon	liver	primary		Other	9	11285	1.63713132	-0.088455295
GSE10592	GSE10592_DEG_Expt1_Control_vs_Group1	azithromycin	epithelial	primary		antibiotics	99	16817	0.357775148	-0.519047015
GSE10592	GSE10592_DEG_Expt2_Control_vs_Group1	azithromycin	epithelial	primary		antibiotics	3	16807	0.888271779	-0.320124344
GSE11142	GSE11142_DEG_Expt1_Control_vs_Group1	nicotine	"blood, lymphoid"	cell line	CEM	acetylcholine receptor agonist	13955	4863	-0.094745283	0.057908411
GSE11285	GSE11285_DEG_Expt1_Control_vs_Group1	enzastaurin	brain	cell line	U251	PKC inhibitor	12954	16771	-0.0795041	-0.353929562
GSE11285	GSE11285_DEG_Expt2_Control_vs_Group1	enzastaurin	brain	cell line	U251	PKC inhibitor	15829	10139	-0.212152221	-0.027292756
GSE11285	GSE11285_DEG_Expt3_Control_vs_Group1	enzastaurin	brain	cell line	U251	PKC inhibitor	14057	250	-0.113134132	0.51182436
GSE11336	GSE11336_DEG_Expt1_Control_vs_Group1	dexamethasone	"blood, lymphoid"	cell line	CCRF-CEM-C7H2	glucocorticoid receptor agonist	363	1753	0.337933724	0.172821558
GSE11336	GSE11336_DEG_Expt2_Control_vs_Group1	dexamethasone	"blood, lymphoid"	cell line	CCRF-CEM-C7H2	glucocorticoid receptor agonist	1905	3520	0.328159459	0.160345893
GSE11352	GSE11352_DEG_Expt1_Control_vs_Group1	estradiol	breast	cell line	MCF7	estrogen receptor agonist	90	15160	0.897816909	-0.277189312
GSE11352	GSE11352_DEG_Expt2_Control_vs_Group1	estradiol	breast	cell line	MCF7	estrogen receptor agonist	43	6025	1.364757486	0.086638778
GSE11352	GSE11352_DEG_Expt3_Control_vs_Group1	estradiol	breast	cell line	MCF7	estrogen receptor agonist	1667	648	0.243132557	0.399853606
GSE11428	GSE11428_DEG_Expt1_Control_vs_Group1	DHT	prostate	cell line	LNCaP	androgen receptor agonist	7828	16865	0.004273712	-1.089917094
GSE11428	GSE11428_DEG_Expt1_Control_vs_Group2	DHT	prostate	cell line	LNCaP	androgen receptor agonist	9032	6999	-0.03007732	0.008519414
GSE11506	GSE11506_DEG_Expt1_Control_vs_Group1	estradiol	breast	cell line	MCF7	estrogen receptor agonist	9585	3697	-0.026455444	0.066659871
GSE11550	GSE11550_DEG_Expt1_Control_vs_Group1	elesclomol	skin	cell line	294T	oxidative stress inducer	122	16626	1.238342835	-0.735512336
GSE11551	GSE11551_DEG_Expt1_Control_vs_Group1	elesclomol	skin	cell line	294T	oxidative stress inducer	75	16756	1.607993062	-1.225819345
GSE11791	GSE11791_DEG_Expt1_Control_vs_Group1	estradiol	breast	cell line	MCF7	estrogen receptor agonist	4087	34	0.095839766	2.07556058
GSE11959	GSE11959_DEG_Expt1_Control_vs_Group1	h10H5	brain	cell line	SK-N-AS	IGF1R inhibitor	2917	16894	0.133259979	-2.079912452
GSE12261	GSE12261_DEG_Expt1_Control_vs_Group1	2-methoxyestradiol	muscle	primary		hypoxia inducible factor inhibitor	2757	16378	0.113332525	-0.224678271
GSE12261	GSE12261_DEG_Expt2_Control_vs_Group1	2-methoxyestradiol	muscle	primary		hypoxia inducible factor inhibitor	15367	15887	-0.160326183	-0.193348689
GSE13762	GSE13762_DEG_Expt1_Control_vs_Group1	vitamin D3	"blood, myeloid"	primary		"Vitamin,mineral,metabolite"	16366	8573	-0.590461843	0.005404454
GSE13762	GSE13762_DEG_Expt2_Control_vs_Group1	vitamin D3	"blood, myeloid"	primary		"Vitamin,mineral,metabolite"	239	2794	1.277080626	0.24466679
GSE13818	GSE13818_DEG_Expt1_Control_vs_Group1	HIF-2a inhibitors	kidney	cell line	786-O	PPAR receptor agonist	12656	16703	-0.097073051	-0.769673675
GSE13818	GSE13818_DEG_Expt1_Control_vs_Group2	HIF-2a inhibitors	kidney	cell line	786-O	PPAR receptor agonist	5358	16683	0.056338567	-0.655591508
GSE13818	GSE13818_DEG_Expt1_Control_vs_Group3	HIF-2a inhibitors	kidney	cell line	786-O	PPAR receptor agonist	8526	15471	-0.006006055	-0.200807184
GSE13818	GSE13818_DEG_Expt1_Control_vs_Group4	HIF-2a inhibitors	kidney	cell line	786-O	PPAR receptor agonist	1286	11656	0.189164872	-0.062240544
