gene_id	external_gene_name	entrezgene_id
ENSMUSG00000064370	mt-Cytb	17711
ENSMUSG00000064368	mt-Nd6	17722
ENSMUSG00000064367	mt-Nd5	17721
ENSMUSG00000064363	mt-Nd4	17719
ENSMUSG00000065947	mt-Nd4l	17720
ENSMUSG00000064360	mt-Nd3	17718
ENSMUSG00000064358	mt-Co3	17710
ENSMUSG00000064357	mt-Atp6	17705
ENSMUSG00000064356	mt-Atp8	17706
ENSMUSG00000064354	mt-Co2	17709
ENSMUSG00000064351	mt-Co1	17708
ENSMUSG00000064345	mt-Nd2	17717
ENSMUSG00000064341	mt-Nd1	17716
ENSMUSG00000090455	Gm2431	105243101
ENSMUSG00000054589	Gm9949	225609
ENSMUSG00000024803	Ankrd1	107765
ENSMUSG00000007480	Mc5r	17203
ENSMUSG00000057417	Dcpp3	620253
ENSMUSG00000024778	Fas	14102
ENSMUSG00000052928	Ctif	269037
ENSMUSG00000025014	Dntt	21673
ENSMUSG00000036961	Wnt8b	22423
ENSMUSG00000024256	Adcyap1	11516
ENSMUSG00000038059	Smim3	106878
ENSMUSG00000025172	Ankrd2	56642
ENSMUSG00000096826	Ccl27b	100040048
ENSMUSG00000025076	Casp7	12369
ENSMUSG00000071037	Camkmt	73582
ENSMUSG00000024907	Gal	14419
ENSMUSG00000024970	Spindoc	68229
ENSMUSG00000057858	Fam204a	76539
ENSMUSG00000025228	Actr1a	54130
ENSMUSG00000024587	Nars	70223
ENSMUSG00000040541	Tmem225	75667
ENSMUSG00000071659	Hnrnpul2	68693
ENSMUSG00000024885	Aldh3b1	67689
ENSMUSG00000025092	Hspa12a	73442
ENSMUSG00000034039	Prss29	114662
ENSMUSG00000024352	Spata24	71242
ENSMUSG00000024306	Ccdc178	70950
ENSMUSG00000067279	Ppp1r3c	53412
ENSMUSG00000091938	Gm2564	100039789
ENSMUSG00000091938	Gm2564	100039848
ENSMUSG00000091938	Gm2564	100039973
ENSMUSG00000091938	Gm2564	100040035
ENSMUSG00000091938	Gm2564	100043921
ENSMUSG00000091938	Gm2564	100861647
ENSMUSG00000025016	Tm9sf3	107358
ENSMUSG00000044201	Cdc25c	12532
ENSMUSG00000073639	Rab18	19330
ENSMUSG00000024425	Ndfip1	65113
ENSMUSG00000024989	Cep55	74107
ENSMUSG00000037013	Ss18	268996
ENSMUSG00000024854	Pold4	69745
ENSMUSG00000043445	Pgp	67078
ENSMUSG00000008482	Rnf151	67504
ENSMUSG00000054134	Umodl1	52020
ENSMUSG00000095240	Cypt14	100504400
ENSMUSG00000095229	Btbd35f26	100040458
ENSMUSG00000024485	Slc4a9	240215
ENSMUSG00000057561	Eif1a	13664
ENSMUSG00000053729	Spinkl	77424
ENSMUSG00000033825	Tpsb2	17229
ENSMUSG00000059734	Ndufs8	225887
ENSMUSG00000096550	Gm16367	545762
ENSMUSG00000025025	Mxi1	17859
ENSMUSG00000039954	Stk32a	269019
ENSMUSG00000036743	Psma8	73677
ENSMUSG00000039840	Epg5	100502841
ENSMUSG00000031600	Vps37a	52348
ENSMUSG00000036278	Macrod1	107227
ENSMUSG00000045094	Arhgef37	328967
ENSMUSG00000003779	Kif20a	19348
ENSMUSG00000042705	Commd10	69456
ENSMUSG00000073565	Prr16	71373
ENSMUSG00000024510	Ftmt	67634
ENSMUSG00000024078	Ttc27	74196
ENSMUSG00000071648	Rom1	19881
ENSMUSG00000045730	Adrb2	11555
ENSMUSG00000024027	Glp1r	14652
ENSMUSG00000052713	Zfp608	269023
ENSMUSG00000000673	Haao	107766
ENSMUSG00000116275	Zc3h11a	70579
ENSMUSG00000024687	Osbp	76303
ENSMUSG00000056399	Prss34	328780
ENSMUSG00000024248	Cox7a2l	20463
ENSMUSG00000048799	Cep120	225523
ENSMUSG00000063590	Slc22a28	434674
ENSMUSG00000024530	Prelid3a	225655
ENSMUSG00000062432	Cyp26c1	546726
ENSMUSG00000052387	Trpm3	226025
ENSMUSG00000025423	Pias2	17344
ENSMUSG00000024661	Fth1	14319
ENSMUSG00000024758	Rtn3	20168
ENSMUSG00000094845	Tmem95	100503361
ENSMUSG00000024107	Lhcgr	16867
ENSMUSG00000024570	Rbfa	68731
ENSMUSG00000024036	Slc37a1	224674
ENSMUSG00000091821	Srsx	100151772
ENSMUSG00000032937	Fshr	14309
ENSMUSG00000045053	Kcng3	225030
ENSMUSG00000056481	Cd248	70445
ENSMUSG00000096271	Ccl21c	100041593
ENSMUSG00000094727	Btbd35f5	100040533
ENSMUSG00000094661	Ccl19	100039053
ENSMUSG00000058881	Zfp516	329003
ENSMUSG00000024940	Ltbp3	16998
ENSMUSG00000090942	F830016B08Rik	240328
ENSMUSG00000040888	Gfer	11692
ENSMUSG00000024565	Sall3	20689
ENSMUSG00000047379	B4gat1	108902
ENSMUSG00000024131	Slc3a1	20532
ENSMUSG00000024912	Fosl1	14283
ENSMUSG00000051412	Vamp7	20955
ENSMUSG00000079580	Tmem217	71138
ENSMUSG00000056917	Sipa1	20469
ENSMUSG00000061613	U2af1	108121
ENSMUSG00000090291	Lrrc10b	278795
ENSMUSG00000025200	Cwf19l1	72502
ENSMUSG00000057506	Bloc1s2	73689
ENSMUSG00000033717	Adra2a	11551
ENSMUSG00000024246	Thumpd2	72167
ENSMUSG00000024696	Lpxn	107321
ENSMUSG00000072437	Nanos1	332397
ENSMUSG00000095567	Noc2l	57741
ENSMUSG00000033863	Klf9	16601
ENSMUSG00000024614	Tmx3	67988
ENSMUSG00000033960	Jcad	240185
ENSMUSG00000050370	Ch25h	12642
ENSMUSG00000039615	Stub1	56424
ENSMUSG00000024665	Fads2	56473
ENSMUSG00000091614	Gm17657	71138
ENSMUSG00000038498	Catsper1	225865
ENSMUSG00000037346	Hrh4	225192
ENSMUSG00000071497	Nutf2-ps1	68051
ENSMUSG00000116057	Vmn1r216	171279
ENSMUSG00000059455	Plac8l1	69401
ENSMUSG00000044026	Slc35g1	240660
ENSMUSG00000005873	Reep5	13476
ENSMUSG00000024074	Crim1	50766
ENSMUSG00000052085	Dock8	76088
ENSMUSG00000024896	Minpp1	17330
ENSMUSG00000025047	Pdcd11	18572
ENSMUSG00000048138	Dmrt2	226049
ENSMUSG00000006435	Neurl1a	18011
ENSMUSG00000024922	Ovol1	18426
ENSMUSG00000024815	Trpd52l3	66745
ENSMUSG00000012282	Wnt8a	20890
ENSMUSG00000033597	Caskin1	268932
ENSMUSG00000035049	Rrp12	107094
ENSMUSG00000025019	Lcor	212391
ENSMUSG00000001380	Hars	15115
ENSMUSG00000024442	Dele1	66839
ENSMUSG00000073574	Grxcr2	332309
ENSMUSG00000039901	Armh3	71617
ENSMUSG00000053624	Gykl1	14625
ENSMUSG00000024827	Gldc	104174
ENSMUSG00000047787	Flrt1	396184
ENSMUSG00000024806	Mlana	77836
ENSMUSG00000024538	Ppic	19038
ENSMUSG00000071658	Gng3	14704
ENSMUSG00000038071	Npy6r	18169
ENSMUSG00000024726	Carnmt1	67383
