ensembl_gene_id	external_gene_name	entrezgene_id
ENSG00000210049	MT-TF	
ENSG00000211459	MT-RNR1	
ENSG00000210077	MT-TV	
ENSG00000210082	MT-RNR2	
ENSG00000209082	MT-TL1	
ENSG00000198888	MT-ND1	4535
ENSG00000210100	MT-TI	
ENSG00000210107	MT-TQ	
ENSG00000210112	MT-TM	
ENSG00000198763	MT-ND2	4536
ENSG00000210117	MT-TW	
ENSG00000210127	MT-TA	
ENSG00000210135	MT-TN	
ENSG00000210140	MT-TC	
ENSG00000210144	MT-TY	
ENSG00000198804	MT-CO1	4512
ENSG00000210151	MT-TS1	113219467
ENSG00000210154	MT-TD	
ENSG00000198712	MT-CO2	4513
ENSG00000210156	MT-TK	
ENSG00000228253	MT-ATP8	4509
ENSG00000198899	MT-ATP6	4508
ENSG00000198938	MT-CO3	4514
ENSG00000210164	MT-TG	
ENSG00000198840	MT-ND3	4537
ENSG00000210174	MT-TR	
ENSG00000212907	MT-ND4L	4539
ENSG00000198886	MT-ND4	4538
ENSG00000210176	MT-TH	
ENSG00000210184	MT-TS2	
ENSG00000210191	MT-TL2	
ENSG00000198786	MT-ND5	4540
ENSG00000198695	MT-ND6	4541
ENSG00000210194	MT-TE	
ENSG00000198727	MT-CYB	4519
ENSG00000210195	MT-TT	
ENSG00000210196	MT-TP	
ENSG00000278457	5S_rRNA	
ENSG00000271254		102724250
ENSG00000273947	KIR2DL3	3804
ENSG00000273918		
ENSG00000276820	KIR2DL1	3802
ENSG00000275151		
ENSG00000275593	KIR3DP1	
ENSG00000277921	LILRP1	
ENSG00000280538		
ENSG00000277554	KIR2DL3	3804
ENSG00000273735	KIR3DL2	3812
ENSG00000274826	LILRP2	79166
ENSG00000274324	KIR2DS4	3809
ENSG00000262826	INTS3	65123
ENSG00000280663	PCMTD2	55251
ENSG00000273755	LILRP2	79166
ENSG00000274714	KIR2DS4	3809
ENSG00000274807	KIR2DS4	3809
ENSG00000275047	KIR2DS5	3810
ENSG00000276885	KIR2DS4	3809
ENSG00000278294	5_8S_rRNA	
ENSG00000281806		
ENSG00000274957	KIR2DS4	3809
ENSG00000279969		
ENSG00000281362	LINC01115	339822
ENSG00000274882	LINC02109	
ENSG00000276970		
ENSG00000274130		
